number,name,status
458,Secure PyPI downloads with signed repository metadata,Standards Track
457,Notation For Positional-Only Parameters,Informational
463,Exception-catching expressions,Rejected
455,Adding a key-transforming dictionary to collections,Standards Track
456,Secure and interchangeable hash algorithm,Standards Track
454,Add a new tracemalloc module to trace Python memory allocations,Standards Track
452,API for Cryptographic Hash Functions v2.0,Final
484,Type Hints,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
448,Additional Unpacking Generalizations,Standards Track
450,Adding A Statistics Module To The Standard Library,Final
453,Explicit bootstrapping of pip in Python installations,Standards Track
445,Add new APIs to customize Python memory allocators,Standards Track
443,Single-dispatch generic functions,Standards Track
447,Add __getdescriptor__ method to metaclass,Deferred
446,Make newly created file descriptors non-inheritable,Final
441,Improving Python ZIP Application Support,Standards Track
451,A ModuleSpec Type for the Import System,Final
442,Safe object finalization,Standards Track
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
438,Transitioning to release-file hosting on PyPI,Superseded
465,A dedicated infix operator for matrix multiplication,Final
440,Version Identification and Dependency Specification,Final
434,IDLE Enhancement Exception for All Branches,Informational
435,Adding an Enum type to the Python standard library,Final
430,Migrating to Python 3 as the default online documentation,Informational
436,The Argument Clinic DSL,Standards Track
444,Python Web3 Interface,Informational
429,Python 3.4 Release Schedule,Final
431,Time zone support improvements,Standards Track
433,Easier suppression of file descriptor inheritance,Superseded
424,A method for exposing a length hint,Final
425,Compatibility Tags for Built Distributions,Standards Track
427,The Wheel Binary Package Format 1.0,Final
428,The pathlib module – object-oriented filesystem paths,Final
432,Restructuring the CPython startup sequence,Standards Track
423,Naming conventions and recipes related to packaging,Informational
422,Simpler customisation of class creation,Withdrawn
420,Implicit Namespace Packages,Final
421,Adding sys.implementation,Standards Track
417,Including mock in the Standard Library,Final
426,Metadata for Python Software Packages 2.0,Withdrawn
419,Protecting cleanup statements from interruptions,Deferred
416,Add a frozendict builtin type,Rejected
415,Implement context suppression with exception attributes,Standards Track
412,Key-Sharing Dictionary,Final
411,Provisional packages in the Python standard library,Superseded
414,Explicit Unicode Literal for Python 3.3,Final
418,"Add monotonic time, performance counter, and process time functions",Final
413,Faster evolution of the Python Standard Library,Withdrawn
410,Use decimal.Decimal type for timestamps,Rejected
409,Suppressing exception context,Final
408,Standard library __preview__ package,Rejected
407,New release cycle and introducing long-term support versions,Deferred
406,Improved Encapsulation of Import State,Withdrawn
404,Python 2.8 Un-release Schedule,Final
401,BDFL Retirement,April Fool!
405,Python Virtual Environments,Standards Track
403,General purpose decorator clause (aka “@in” clause),Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
402,Simplified Package Layout and Partitioning,Rejected
398,Python 3.3 Release Schedule,Final
397,Python launcher for Windows,Final
396,Module Version Numbers,Rejected
394,The “python” Command on Unix-Like Systems,Active
392,Python 3.2 Release Schedule,Final
390,Static metadata for Distutils,Rejected
